,Unnamed: 0,epoch (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
56859,63745,1581446892240,2020-02-11T13.48.12.240,8440.933,0.27,-0.121,0.949
56860,63746,1581446892242,2020-02-11T13.48.12.242,8440.935,0.27,-0.119,0.945
56861,63747,1581446892245,2020-02-11T13.48.12.245,8440.938,0.266,-0.12,0.941
56862,63748,1581446892247,2020-02-11T13.48.12.247,8440.94,0.266,-0.121,0.948
56863,63749,1581446892249,2020-02-11T13.48.12.249,8440.942,0.265,-0.118,0.951
56864,63750,1581446892252,2020-02-11T13.48.12.252,8440.945,0.268,-0.109,0.948
56865,63751,1581446892255,2020-02-11T13.48.12.255,8440.948,0.267,-0.105,0.948
56866,63752,1581446892258,2020-02-11T13.48.12.258,8440.951,0.264,-0.106,0.949
56867,63753,1581446892259,2020-02-11T13.48.12.259,8440.952,0.257,-0.109,0.945
56868,63754,1581446892262,2020-02-11T13.48.12.262,8440.955,0.256,-0.115,0.94
56869,63755,1581446892265,2020-02-11T13.48.12.265,8440.958,0.259,-0.119,0.94
56870,63756,1581446892267,2020-02-11T13.48.12.267,8440.96,0.258,-0.111,0.944
56871,63757,1581446892269,2020-02-11T13.48.12.269,8440.962,0.255,-0.104,0.943
56872,63758,1581446892272,2020-02-11T13.48.12.272,8440.965,0.255,-0.094,0.947
56873,63759,1581446892275,2020-02-11T13.48.12.275,8440.968,0.258,-0.104,0.955
56874,63760,1581446892277,2020-02-11T13.48.12.277,8440.97,0.26,-0.111,0.953
56875,63761,1581446892280,2020-02-11T13.48.12.280,8440.973,0.26,-0.117,0.942
56876,63762,1581446892283,2020-02-11T13.48.12.283,8440.976,0.257,-0.116,0.941
56877,63763,1581446892286,2020-02-11T13.48.12.286,8440.979,0.269,-0.119,0.949
56878,63764,1581446892287,2020-02-11T13.48.12.287,8440.98,0.275,-0.119,0.961
56879,63765,1581446892290,2020-02-11T13.48.12.290,8440.983,0.272,-0.105,0.953
56880,63766,1581446892293,2020-02-11T13.48.12.293,8440.985999999999,0.268,-0.101,0.948
56881,63767,1581446892294,2020-02-11T13.48.12.294,8440.987,0.269,-0.103,0.948
56882,63768,1581446892297,2020-02-11T13.48.12.297,8440.99,0.268,-0.108,0.951
56883,63769,1581446892300,2020-02-11T13.48.12.300,8440.993,0.263,-0.109,0.956
56884,63770,1581446892303,2020-02-11T13.48.12.303,8440.996,0.264,-0.104,0.945
56885,63771,1581446892305,2020-02-11T13.48.12.305,8440.998,0.254,-0.106,0.948
56886,63772,1581446892308,2020-02-11T13.48.12.308,8441.001,0.265,-0.108,0.945
56887,63773,1581446892310,2020-02-11T13.48.12.310,8441.003,0.264,-0.106,0.947
56888,63774,1581446892313,2020-02-11T13.48.12.313,8441.006,0.26,-0.105,0.943
56889,63775,1581446892315,2020-02-11T13.48.12.315,8441.008,0.263,-0.108,0.945
56890,63776,1581446892318,2020-02-11T13.48.12.318,8441.011,0.258,-0.115,0.938
56891,63777,1581446892321,2020-02-11T13.48.12.321,8441.014000000001,0.266,-0.116,0.941
56892,63778,1581446892322,2020-02-11T13.48.12.322,8441.015,0.269,-0.11,0.948
56893,63779,1581446892325,2020-02-11T13.48.12.325,8441.018,0.271,-0.1,0.953
56894,63780,1581446892328,2020-02-11T13.48.12.328,8441.021,0.26,-0.101,0.947
56895,63781,1581446892331,2020-02-11T13.48.12.331,8441.024,0.258,-0.106,0.942
56896,63782,1581446892332,2020-02-11T13.48.12.332,8441.025,0.261,-0.111,0.947
56897,63783,1581446892335,2020-02-11T13.48.12.335,8441.028,0.262,-0.103,0.95
56898,63784,1581446892338,2020-02-11T13.48.12.338,8441.030999999999,0.26,-0.096,0.951
56899,63785,1581446892340,2020-02-11T13.48.12.340,8441.033000000001,0.255,-0.108,0.958
56900,63786,1581446892343,2020-02-11T13.48.12.343,8441.036,0.265,-0.117,0.955
56901,63787,1581446892346,2020-02-11T13.48.12.346,8441.039,0.261,-0.11,0.946
56902,63788,1581446892349,2020-02-11T13.48.12.349,8441.042,0.26,-0.116,0.948
56903,63789,1581446892350,2020-02-11T13.48.12.350,8441.043,0.266,-0.135,0.946
56904,63790,1581446892353,2020-02-11T13.48.12.353,8441.046,0.26,-0.154,0.944
56905,63791,1581446892356,2020-02-11T13.48.12.356,8441.049,0.253,-0.14,0.936
56906,63792,1581446892357,2020-02-11T13.48.12.357,8441.05,0.248,-0.113,0.938
56907,63793,1581446892360,2020-02-11T13.48.12.360,8441.053,0.246,-0.098,0.948
56908,63794,1581446892363,2020-02-11T13.48.12.363,8441.056,0.236,-0.08800000000000001,0.95
56909,63795,1581446892366,2020-02-11T13.48.12.366,8441.059000000001,0.23,-0.083,0.94
56910,63796,1581446892368,2020-02-11T13.48.12.368,8441.061,0.234,-0.083,0.947
56911,63797,1581446892371,2020-02-11T13.48.12.371,8441.064,0.247,-0.091,0.953
56912,63798,1581446892373,2020-02-11T13.48.12.373,8441.065999999999,0.251,-0.103,0.951
56913,63799,1581446892375,2020-02-11T13.48.12.375,8441.068000000001,0.254,-0.11,0.942
56914,63800,1581446892378,2020-02-11T13.48.12.378,8441.071,0.253,-0.113,0.943
56915,63801,1581446892381,2020-02-11T13.48.12.381,8441.074,0.244,-0.109,0.942
56916,63802,1581446892384,2020-02-11T13.48.12.384,8441.077,0.244,-0.105,0.948
56917,63803,1581446892385,2020-02-11T13.48.12.385,8441.078000000001,0.245,-0.101,0.932
56918,63804,1581446892388,2020-02-11T13.48.12.388,8441.081,0.235,-0.103,0.923
56919,63805,1581446892391,2020-02-11T13.48.12.391,8441.084,0.231,-0.1,0.928
56920,63806,1581446892394,2020-02-11T13.48.12.394,8441.087,0.239,-0.104,0.939
56921,63807,1581446892395,2020-02-11T13.48.12.395,8441.088,0.239,-0.102,0.954
56922,63808,1581446892398,2020-02-11T13.48.12.398,8441.091,0.24,-0.081,0.96
56923,63809,1581446892401,2020-02-11T13.48.12.401,8441.094000000001,0.245,-0.069,0.958
56924,63810,1581446892403,2020-02-11T13.48.12.403,8441.096,0.25,-0.073,0.967
56925,63811,1581446892406,2020-02-11T13.48.12.406,8441.099,0.252,-0.078,0.97
56926,63812,1581446892409,2020-02-11T13.48.12.409,8441.101999999999,0.258,-0.087,0.959
56927,63813,1581446892412,2020-02-11T13.48.12.412,8441.105,0.266,-0.104,0.958
56928,63814,1581446892413,2020-02-11T13.48.12.413,8441.106,0.274,-0.125,0.956
56929,63815,1581446892416,2020-02-11T13.48.12.416,8441.109,0.277,-0.133,0.96
56930,63816,1581446892419,2020-02-11T13.48.12.419,8441.112,0.284,-0.126,0.944
