,Unnamed: 0,epoch (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
86829,93715,1581446967797,2020-02-11T13.49.27.797,8516.49,0.365,-0.17600000000000002,0.908
86830,93716,1581446967800,2020-02-11T13.49.27.800,8516.493,0.539,-0.152,1.063
86831,93717,1581446967803,2020-02-11T13.49.27.803,8516.496,0.379,-0.272,1.062
86832,93718,1581446967804,2020-02-11T13.49.27.804,8516.497,0.188,-0.403,0.787
86833,93719,1581446967807,2020-02-11T13.49.27.807,8516.5,0.239,-0.405,0.8059999999999999
86834,93720,1581446967810,2020-02-11T13.49.27.810,8516.503,0.299,-0.33,0.972
86835,93721,1581446967813,2020-02-11T13.49.27.813,8516.506,0.29600000000000004,-0.223,0.967
86836,93722,1581446967814,2020-02-11T13.49.27.814,8516.507,0.29600000000000004,-0.111,0.928
86837,93723,1581446967817,2020-02-11T13.49.27.817,8516.51,0.311,-0.069,0.949
86838,93724,1581446967820,2020-02-11T13.49.27.820,8516.513,0.327,-0.16,0.965
86839,93725,1581446967822,2020-02-11T13.49.27.822,8516.515,0.298,-0.294,0.924
86840,93726,1581446967825,2020-02-11T13.49.27.825,8516.518,0.282,-0.336,0.8490000000000001
86841,93727,1581446967828,2020-02-11T13.49.27.828,8516.521,0.29,-0.259,0.8440000000000001
86842,93728,1581446967830,2020-02-11T13.49.27.830,8516.523000000001,0.328,-0.121,0.872
86843,93729,1581446967832,2020-02-11T13.49.27.832,8516.525,0.359,-0.131,0.904
86844,93730,1581446967835,2020-02-11T13.49.27.835,8516.528,0.399,-0.253,0.936
86845,93731,1581446967838,2020-02-11T13.49.27.838,8516.530999999999,0.38,-0.308,0.948
86846,93732,1581446967841,2020-02-11T13.49.27.841,8516.534,0.315,-0.261,0.8759999999999999
86847,93733,1581446967842,2020-02-11T13.49.27.842,8516.535,0.303,-0.234,0.7909999999999999
86848,93734,1581446967845,2020-02-11T13.49.27.845,8516.538,0.362,-0.208,0.799
